id,word,url
0,a,https://www.oxfordlearnersdictionaries.com/definition/english/a_1
1,abandon,https://www.oxfordlearnersdictionaries.com/definition/english/abandon_1#abandon2_e
2,ability,https://www.oxfordlearnersdictionaries.com/definition/english/ability_1
3,able,https://www.oxfordlearnersdictionaries.com/definition/english/able_1
4,abolish,https://www.oxfordlearnersdictionaries.com/definition/english/abolish#abolish_e
5,abortion,https://www.oxfordlearnersdictionaries.com/definition/english/abortion
6,about,https://www.oxfordlearnersdictionaries.com/definition/english/about_2
7,about,https://www.oxfordlearnersdictionaries.com/definition/english/about_1
8,above,https://www.oxfordlearnersdictionaries.com/definition/english/above_2
9,above,https://www.oxfordlearnersdictionaries.com/definition/english/above_1#above3_e
10,abroad,https://www.oxfordlearnersdictionaries.com/definition/english/abroad
11,absence,https://www.oxfordlearnersdictionaries.com/definition/english/absence
12,absent,https://www.oxfordlearnersdictionaries.com/definition/english/absent_1
13,absolute,https://www.oxfordlearnersdictionaries.com/definition/english/absolute_1
14,absolutely,https://www.oxfordlearnersdictionaries.com/definition/english/absolutely
15,absorb,https://www.oxfordlearnersdictionaries.com/definition/english/absorb
16,abstract,https://www.oxfordlearnersdictionaries.com/definition/english/abstract_1#abstract3_e
17,absurd,https://www.oxfordlearnersdictionaries.com/definition/english/absurd
18,abundance,https://www.oxfordlearnersdictionaries.com/definition/english/abundance
19,abuse,https://www.oxfordlearnersdictionaries.com/definition/english/abuse_1
20,abuse,https://www.oxfordlearnersdictionaries.com/definition/english/abuse_2
21,academic,https://www.oxfordlearnersdictionaries.com/definition/english/academic_1
22,academic,https://www.oxfordlearnersdictionaries.com/definition/english/academic_2
23,academy,https://www.oxfordlearnersdictionaries.com/definition/english/academy
24,accelerate,https://www.oxfordlearnersdictionaries.com/definition/english/accelerate
25,accent,https://www.oxfordlearnersdictionaries.com/definition/english/accent_1
26,accept,https://www.oxfordlearnersdictionaries.com/definition/english/accept
27,acceptable,https://www.oxfordlearnersdictionaries.com/definition/english/acceptable
28,acceptance,https://www.oxfordlearnersdictionaries.com/definition/english/acceptance
29,access,https://www.oxfordlearnersdictionaries.com/definition/english/access_1
30,access,https://www.oxfordlearnersdictionaries.com/definition/english/access_2
31,accessible,https://www.oxfordlearnersdictionaries.com/definition/english/accessible
32,accident,https://www.oxfordlearnersdictionaries.com/definition/english/accident
33,accidentally,https://www.oxfordlearnersdictionaries.com/definition/english/accidentally
34,accommodate,https://www.oxfordlearnersdictionaries.com/definition/english/accommodate
35,accommodation,https://www.oxfordlearnersdictionaries.com/definition/english/accommodation
36,accompany,https://www.oxfordlearnersdictionaries.com/definition/english/accompany
37,accomplish,https://www.oxfordlearnersdictionaries.com/definition/english/accomplish#accomplish_e
38,accomplishment,https://www.oxfordlearnersdictionaries.com/definition/english/accomplishment
39,accordance,https://www.oxfordlearnersdictionaries.com/definition/english/accordance
40,according to,https://www.oxfordlearnersdictionaries.com/definition/english/according-to
41,accordingly,https://www.oxfordlearnersdictionaries.com/definition/english/accordingly
42,account,https://www.oxfordlearnersdictionaries.com/definition/english/account_1
43,account,https://www.oxfordlearnersdictionaries.com/definition/english/account_2
44,accountability,https://www.oxfordlearnersdictionaries.com/definition/english/accountability
45,accountable,https://www.oxfordlearnersdictionaries.com/definition/english/accountable#accountable_e
46,accountant,https://www.oxfordlearnersdictionaries.com/definition/english/accountant
47,accounting,https://www.oxfordlearnersdictionaries.com/definition/english/accounting
48,accumulate,https://www.oxfordlearnersdictionaries.com/definition/english/accumulate
49,accumulation,https://www.oxfordlearnersdictionaries.com/definition/english/accumulation
50,accuracy,https://www.oxfordlearnersdictionaries.com/definition/english/accuracy
51,accurate,https://www.oxfordlearnersdictionaries.com/definition/english/accurate
52,accurately,https://www.oxfordlearnersdictionaries.com/definition/english/accurately
53,accusation,https://www.oxfordlearnersdictionaries.com/definition/english/accusation
54,accuse,https://www.oxfordlearnersdictionaries.com/definition/english/accuse#accuse_e
55,accused,https://www.oxfordlearnersdictionaries.com/definition/english/the-accused
56,achieve,https://www.oxfordlearnersdictionaries.com/definition/english/achieve
57,achievement,https://www.oxfordlearnersdictionaries.com/definition/english/achievement
58,acid,https://www.oxfordlearnersdictionaries.com/definition/english/acid_2
59,acid,https://www.oxfordlearnersdictionaries.com/definition/english/acid_1
60,acknowledge,https://www.oxfordlearnersdictionaries.com/definition/english/acknowledge
61,acquire,https://www.oxfordlearnersdictionaries.com/definition/english/acquire
62,acquisition,https://www.oxfordlearnersdictionaries.com/definition/english/acquisition
63,acre,https://www.oxfordlearnersdictionaries.com/definition/english/acre
64,across,https://www.oxfordlearnersdictionaries.com/definition/english/across_2
65,across,https://www.oxfordlearnersdictionaries.com/definition/english/across_1
66,act,https://www.oxfordlearnersdictionaries.com/definition/english/act_2
67,act,https://www.oxfordlearnersdictionaries.com/definition/english/act_1
68,action,https://www.oxfordlearnersdictionaries.com/definition/english/action_1#action2_e
69,activate,https://www.oxfordlearnersdictionaries.com/definition/english/activate
